raga_name|kriti_name|composer_name|Link
chayaranjani|Nivalayince|G. N. Balasubramaniam|
gaurimanohari|Brova Samayamide|Garbhapurivasa|
gaurimanohari|Devi Gauri Ninna Dhyanisuva|Muthiah Bhagavatar|
gaurimanohari|Eppo Tolaiyum|Gopalakrishna Bharati|
gaurimanohari|Garuda Gamana Vasudeva|Tyagaraja|
gaurimanohari|Gaurimanohara|Papanasam Sivan|
gaurimanohari|Guruleka Etuvanti Guniki|Tyagaraja|
gaurimanohari|Karunakara Paramporule|Samuel Vedanayagam Pillai|
gaurimanohari|Kaumari Gauri Velavali|Muthuswami Dikshitar|
gaurimanohari|Oka Matatavelara|Pallavi Seshayyar|
gaurimanohari|Parai Arul|Koteeswara Iyer|
gaurimanohari|Ragam Tanam Pallavi|Own/others|
gaurimanohari|Sarasasama Mrudupada|Swathi Thirunal Rama Varma|
gaurimanohari|Varalaksmi Namostute|Mysore Vasudevachar|
janjuti|Marulu Konnane|M. Balamuralikrishna|
kalgada|Parvati Ninnu Nera Nammiti|Shyama Sastri|
kalgada|Samayamu Emarake Manasa|Tyagaraja|
kharaharapriya|Ragam Tanam Pallavi|Own/others|
kharaharapriya|Annapurneshvari Akhileshvari|Muthiah Bhagavatar|
kharaharapriya|Antari Sundari|Neelakanta Sivan|
kharaharapriya|Appan Avataritta|Papanasam Sivan|
kharaharapriya|Aranamum Agamum|Papanasam Sivan|
kharaharapriya|Arulvay|Koteeswara Iyer|
kharaharapriya|Azhagu Deivamaga Vandu|Periyasaamy Thooran|
kharaharapriya|Cakkani Rajamargamu|Tyagaraja|
kharaharapriya|Cetulara Shrngaramu|Tyagaraja|
kharaharapriya|Dayavillaiya Dayalo|Papanasam Sivan|
kharaharapriya|Enna Seidalum Endan|Papanasam Sivan|
kharaharapriya|Ganapatiye Karunanidhiye|Papanasam Sivan|
kharaharapriya|Gana Sudha Rasa|Mysore Vasudevachar|
kharaharapriya|Janakipate Jaya|Papanasam Sivan|
kharaharapriya|Kakka Unakkirakkam|Papanasam Sivan|
kharaharapriya|Kan Parayya|Koteeswara Iyer|
kharaharapriya|Kori Sevimparare|Tyagaraja|
kharaharapriya|Madhuram Madhuram|Tanjavur Sankara Iyer|
kharaharapriya|Mitri Bhagyame|Tyagaraja|
kharaharapriya|Moovasai Konda|Muthiah Bhagavatar|
kharaharapriya|Nadaci Nadaci Cucera|Tyagaraja|
kharaharapriya|Narayana Pilicite Ravademi|Mysore Vasudevachar|
kharaharapriya|Navasiddhi Petralum|Neelakanta Sivan|
kharaharapriya|Nidamoru Taram|Ambujam krishna|
kharaharapriya|Ninnu Nammina Vadanu Nerama Nannubrova|Garbhapurivasa|
